Timestamp,Device_Name,MAC_Address,RSSI
2026-04-29 18:35:52.295177,TY,DC:23:50:F2:A3:5D,-94
2026-04-29 18:35:52.295202,POCO X7 Pro,9C:9E:D5:92:22:24,-74
2026-04-29 18:35:52.295207,LYWSD03MMC,A4:C1:38:91:9B:F2,-95
2026-04-29 18:36:00.311900,POCO X7 Pro,9C:9E:D5:92:22:24,-79
2026-04-29 18:36:00.311942,LYWSD03MMC,A4:C1:38:91:9B:F2,-86
2026-04-29 18:36:08.335002,TY,DC:23:50:F2:A3:5D,-92
2026-04-29 18:36:08.335034,POCO X7 Pro,9C:9E:D5:92:22:24,-73
2026-04-29 18:36:16.358550,POCO X7 Pro,9C:9E:D5:92:22:24,-80
2026-04-29 18:36:16.358584,LYWSD03MMC,A4:C1:38:91:9B:F2,-89
2026-04-29 18:36:16.358594,TY,DC:23:50:F2:A3:5D,-88
2026-04-29 18:36:24.377722,POCO X7 Pro,9C:9E:D5:92:22:24,-82
